word_a,word_b,category_a,category_b,similarity,keep
wrongly,incorrectly,embeddings,embeddings,0.9649,
prosecuted,prosecute,embeddings,embeddings,0.9633,
disagreements,disagreement,embeddings,embeddings,0.9575,
defendant,defendants,embeddings,embeddings,0.9559,
prosecuting,prosecute,embeddings,embeddings,0.9533,
worsened,worsening,embeddings,embeddings,0.9524,
prosecuted,prosecuting,embeddings,embeddings,0.9498,
defending,defend,embeddings,embeddings,0.9495,
dissolve,dissolved,verbs,embeddings,0.9387,
wobble,wobbly,whimsical,adjectives,0.9381,
buyers,purchasers,embeddings,embeddings,0.9374,
yearning,longing,abstract,abstract,0.9353,
prosecuting,prosecutions,embeddings,embeddings,0.9347,
prosecuted,prosecutions,embeddings,embeddings,0.9335,
crispy,crisp,adjective,food,0.9314,
worse,worst,embeddings,embeddings,0.9282,
defending,defensive,embeddings,embeddings,0.9261,
prosecutions,prosecute,embeddings,embeddings,0.9197,
defender,defend,embeddings,embeddings,0.9188,
defined,definition,embeddings,embeddings,0.9178,
buyers,homebuyers,embeddings,embeddings,0.9176,
crumpled,crumble,adjectives,food,0.9138,
panda,penguin,animals,animals,0.9133,
purchasers,homebuyers,embeddings,embeddings,0.9097,
prosecutors,prosecutions,embeddings,embeddings,0.9084,
controversies,disagreements,embeddings,embeddings,0.9072,
defending,defender,embeddings,embeddings,0.9071,
glitter,glimmer,whimsical,whimsical,0.9023,
defender,defensive,embeddings,embeddings,0.9022,
defend,defensive,embeddings,embeddings,0.9021,
glimmer,glow,whimsical,abstract,0.8998,
brittle,crumble,adjectives,food,0.8986,
glitter,glow,whimsical,abstract,0.8957,
fester,ferment,verbs,verbs,0.8944,
penguin,peacock,animals,animals,0.8903,
prosecutors,prosecuting,embeddings,embeddings,0.8900,
silky,slimy,adjectives,adjectives,0.8899,
spark,ripple,noun,abstract,0.8898,
prosecutors,prosecuted,embeddings,embeddings,0.8894,
zoom,zap,tech,whimsical,0.8889,
murky,muddle,adjectives,whimsical,0.8878,
linger,ripple,verbs,abstract,0.8868,
Facebook,Twitter,tech,tech_and_culture,0.8867,
prosecutors,prosecute,embeddings,embeddings,0.8856,
flicker,glimmer,whimsical,whimsical,0.8847,
frenzy,fervor,whimsical,abstract,0.8844,
blunder,muddle,whimsical,whimsical,0.8843,
lore,linger,tech,verbs,0.8836,
prosecutors,defendants,embeddings,embeddings,0.8835,
fizz,tizzy,whimsical,whimsical,0.8835,
flamingo,peacock,animals,animals,0.8821,
blazing,smoldering,adjectives,adjectives,0.8818,
WiFi,Bluetooth,acronym,tech_and_culture,0.8808,
murky,grimy,adjectives,adjectives,0.8803,
blunder,fumble,whimsical,whimsical,0.8801,
