card,word1,word2,word3,word4
M1,Michael,Peter,Forrest,Brian
M2,hidden,path,entertainment,incorporated
3,Fortnite,brew,tangle,avatar
4,peacock,dissolve,film,COVID
5,beckon,grind,Amazon,viral
6,crisp,lore,throttle,Madonna
7,Discord,bamboozle,longing,rogue
8,brittle,glow,incorrectly,Ford
9,bond,simmer,Crocs,haunt
10,Minecraft,fringe,steamy,void
11,boxer,prowl,fracture,Disney
12,coil,Google,naughty,murmur
13,ram,squelch,ExxonMobil,bare
14,draft,smolder,Twitter,caramel
15,devour,frozen,quirk,Microsoft
16,crest,cipher,fuzzy,pickle
17,hatch,AI,worst,silky
18,static,weasel,plunge,marrow
19,hack,gravy,definitely,twilight
20,hijack,fizz,sloth,golden
21,prompt,tension,fester,chestnut
22,zoom,waffle,Sting,YOLO
23,kerfuffle,chip,vibe,blunder
24,unravel,threshold,flint,LOL
25,bumble,WiFi,topple,hollow
